
[15/02/2024, 20:51:08]	v0.7.5
[16/02/2024, 16:09:04]	v0.8.0
[20/02/2024, 14:01:02]	v0.9.0
[27/02/2024, 13:03:01]	v0.9.1
[27/02/2024, 13:51:01]	v0.10.0
[02/03/2024, 18:35:06]	v0.10.1
[04/03/2024, 11:42:11]	v0.10.2
[04/03/2024, 11:46:11]	v0.10.3
[04/03/2024, 12:24:12]	v1.0.0
[22/03/2024, 12:23:12]	v1.0.1
[22/03/2024, 13:13:01]	v1.0.2
[25/03/2024, 14:17:02]	v1.0.3
[25/03/2024, 15:12:03]	v1.0.4
